Analysis,Phased,chrom,Memory (Kb),Runtime (sec.),XPCLR runtime,XPCLR memory,Fold improvement (runtime),Fold improvement (memory)
"xpclrs (8 threads, --fast)",no,15,"578,244.000",332,"18,703","7,983,924.000",56.334,13.807
xpclrs (8 threads),no,18,"554,504.000",378,"19,307","7,493,428.000",51.077,13.514
xpclrs (1 thread),no,14,"642,788.000","1,026","22,440","8,764,848.000",21.871,13.636
xpclr,no,10,"13,071,768.000","31,053","31,053","13,071,768.000",1.000,1.000
xpclrs (1 thread),yes,4,"1,965,016.000","2,450","45,301","18,765,476.000",18.490,9.550
xpclrs (1 thread),yes,5,"1,724,560.000","2,161","40,512","17,191,672.000",18.747,9.969
xpclr,no,11,"13,260,836.000","32,447","32,447","13,260,836.000",1.000,1.000
xpclrs (1 thread),no,15,"577,004.000",922,"18,703","7,983,924.000",20.285,13.837
xpclrs (8 threads),no,19,"465,356.000",304,"14,241","6,055,488.000",46.845,13.013
"xpclrs (8 threads, --fast)",no,14,"645,248.000",364,"22,440","8,764,848.000",61.648,13.584
"xpclrs (8 threads, --fast)",no,16,"632,348.000",370,"19,882","8,858,816.000",53.735,14.009
xpclrs (1 thread),no,17,"552,872.000",908,"18,166","7,702,276.000",20.007,13.931
xpclr,no,13,"9,419,052.000","23,237","23,237","9,419,052.000",1.000,1.000
xpclrs (1 thread),yes,7,"1,608,588.000","1,906","37,699","15,429,732.000",19.779,9.592
"xpclrs (8 threads, --plink, --fast)",no,8,"6,466,644.000",58,"35,066","15,023,728.000",604.586,2.323
xpclrs (8 threads),no,9,"867,216.000",591,"26,767","11,703,072.000",45.291,13.495
"xpclrs (8 threads, --plink)",no,8,"6,467,376.000",180,"35,066","15,023,728.000",194.811,2.323
"xpclrs (8 threads, --plink)",no,9,"5,034,064.000",140,"26,767","11,703,072.000",191.193,2.325
xpclrs (8 threads),no,8,"1,081,100.000",767,"35,066","15,023,728.000",45.718,13.897
"xpclrs (8 threads, --plink, --fast)",no,9,"5,035,528.000",42,"26,767","11,703,072.000",637.310,2.324
xpclrs (1 thread),yes,6,"1,805,500.000","2,139","41,025","16,448,072.000",19.180,9.110
xpclr,no,12,"12,676,484.000","30,950","30,950","12,676,484.000",1.000,1.000
xpclrs (1 thread),no,16,"631,380.000","1,013","19,882","8,858,816.000",19.627,14.031
"xpclrs (8 threads, --fast)",no,17,"551,408.000",319,"18,166","7,702,276.000",56.947,13.968
"xpclrs (8 threads, --fast)",no,13,"710,424.000",394,"23,237","9,419,052.000",58.977,13.258
xpclrs (8 threads),no,22,"287,624.000",183,"8,782","3,690,484.000",47.989,12.831
xpclrs (1 thread),no,12,"938,080.000","1,533","30,950","12,676,484.000",20.189,13.513
xpclrs (1 thread),yes,2,"2,296,304.000","2,894","55,916","23,125,684.000",19.321,10.071
xpclr,no,16,"8,858,816.000","19,882","19,882","8,858,816.000",1.000,1.000
xpclr,no,17,"7,702,276.000","18,166","18,166","7,702,276.000",1.000,1.000
